model,format,authors,title,journal_name,journal_volume,journal_issue,journal_page,elocator,publication_date,doi,pmcid,pmid,REFERENCE
deepseek/deepseek-v4-flash,springer,True,True,True,True,True(null),False(null),False,False,True,True,True,False
nvidia/nemotron-3-super-120b-a12b:free,harvard
xiaomi/mimo-v2.5,cse,True,True,True,False,False(null),False(null),False,False,False,False,True,False
google/gemini-3-flash-preview,harvard,True,False,True,False,True(null),False(null),False,False,False,False,False,False
